iter	Logloss
0	0.6053064476
1	0.5350960944
2	0.4821013345
3	0.4386413862
4	0.4071457097
5	0.3790232946
6	0.3602187379
7	0.3420813099
8	0.3272485871
9	0.3172473342
10	0.308120931
111	0.2997058906112	0.2932611708113	0.288149838214	0.2823933219
15	0.2781922805
16	0.2749346044
17	0.2716511678
18	0.2687045687
19	0.2659153211
20	0.2632426893
21	0.2612123574
22	0.259438233
23	0.2578702566
24	0.256673076
25	0.2557641483
2626	0.2552133232727	0.2541415422828	0.2533822262929	0.2523085519
30	0.2515399688
31	0.2529313833232	0.2500961061
33	0.2496011713
34	0.2490206768
35	0.2483731536	36	0.2496946037	37	0.2492140338	38	0.248810963939	0.2484835840	40	0.2480988741	0.2444738041
42	42	0.2473434343	0.2435826594
44	44	0.2467145445	0.242804411
46	0.2423518471
47	0.2419911518
48	0.2416575428
49	0.2413417166
50	0.2410904591
51	0.2408053294
52	0.2405492818
53	0.2403094801
54	0.2400246984
55	0.2397825069
56	0.2395996945
57	0.2393441543
58	0.2388817324
59	0.2386329336
60	0.2384409452
61	0.2382915189
62	0.2381604661
63	0.2379189615
64	0.2377408926
65	0.2376252271
66	0.2374016302
67	0.2371540958
68	0.2370092265
69	0.2367963413
70	0.2364632804
71	0.2362415633
72	0.2360085716
73	0.2357717451
74	0.2356334771
75	0.2355338431
76	0.235365723
77	0.2352466408
78	0.2350904989
7979	0.2378202878080	0.2376444678181	0.2374961288282	0.237307726883	0.237117298484	0.2343158475
85	0.2342084457
886	0.2367110605887	0.2365774056888	0.2364326678989	0.2363145889090	0.2360154691	91	0.2358865292	0.2331503977
93	0.233048706
94	0.2327894047
95	0.2326637292
96	0.2325843758
97	0.2324156436
98	0.2322699679
99	0.2321622885
100	0.2320613765
101	0.2319754681
102	0.2318859621
1103	0.2343336582104	0.2316601447
105	0.2314913292
106	0.2313634833
107	0.231267691
108	0.2311152953
109	0.2310206171
110	0.2308617797
111	0.2308002267
112	0.2307465673
113	0.230676453
114	0.230516146
115	0.2304678687
116	0.2303809943
117	0.2302800554
118	0.2301775933
119	0.2300969929
120	0.229986772
121	0.2299172594
122	0.2297839377
123	0.229627283
124	0.2294820544
125	0125	0.231866126	0126	0.23176127	0.2290569323
128	0.2289354656
129	0.2288373464
130	0.2287668434
131	0.2287244138
132	0.2286090765
133	0.2284971374
134	0.2282830563
135	0.2281950386
136	0.2279794418
137	0.2278687311
138	0.2278145531
139	0.227735091
140	0.2276823693
141	0.227578027
142	0.2274911224
143	0.2273687564
144	0.2273181303
145	0.2271851922
146	0.2270744354
147	0.2269773233
148	0.2268345752
149	0.2267663884
150	0.2266887881
151	0.2265967062
152	0.2265307356
153	0.2264582737
154	0.2263762593
155	0.2262733126
156	0.226210739
157	0.2260838095
158	0.2259772559
159	0.2258474715
160	0.2257395661
161	0.2256641566
162	0.2255967029
163	0.2254906202
164	0.2253695204
165	0.2252886076
166	0.2251898944
167	0.2250901934
168	0.2249859884
169	0.2248986607
170	0.2248002114
171	0.2246838297
172	0.2246014203
173	0.2245152603
174	0.2244200619
175	0.2243446288
176	0.2242703794
177	0.2241555242
178	0.2240648499
179	0.224025126
180	0.223941353
181	0.2238864086
182	0.2237657356
183	0.2237044128
184	0.2236245743
185	0.2235576062
186	0.2235049316
187	0.2234367372
188	0.2232824024
189	0.2231871714
190	0.2231043852
191	0.2230443863
192	0.2229877991
193	0.2229005171
194	0.2227911623
195	0.2227612944
196	0.2226913534
197	0.2226091527
198	0.2225796823
199	0.2224520352
200	0.2223574065
201	0.2222859565
202	0.2221846275
203	0.222112818
204	0.2220340934
205	0.2219922352
206	0.2219137683
207	0.2218501334
208	0.2217377061
209	0.2217062593
210	0.2216350736
211	0.2215731119
212	0.221544828
213	0.2214726944
214	0.2214091352
215	0.2213162159
216	0.2212581913
217	0.2211826006
218	0.2210980608
219	0.221037625
220	0.2209272858
221	0.2208459896
222	0.2207784975
223	0.2207333993
224	0.2206602494
225	0.2205788873
226	0.2205012315
227	0.2204289698
228	0.220361611
229	0.2203137491
230	0.220245747
231	0.2201977912
232	0.220143741
233	0.2200553015
234	0.2200027232
235	0.2199264665
236	0.2198285769
237	0.2197816469
238	0.2197214157
239	0.2196709621
240	0.2195844946
241	0.2195252904
242	0.2194845246
243	0.2194374885
244	0.219406234
245	0.2193178056
246	0.2192572895
247	0.2191494596
248	0.21908975
