iter	Passed	Remaining
0	258	258531
1	412	205720
2	569	189127
3	716	178349
4	847	168620
5	979	162259
6	1097	155644
7	1239	153700
8	1345	148184
9	1473	145840
10	1581	142203
11	1778	146432
12	1921	145923
13	2052	144550
14	2184	143467
15	2308	141959
16	2428	140405
17	2552	139275
18	2709	139886
19	2890	141625
20	3015	140579
21	3133	139292
22	3273	139065
23	3407	138555
24	3544	138244
25	3668	137441
26	3893	140296
27	4062	141033
28	4229	141617
29	4377	141543
30	4535	141782
31	5055	152936
32	4815	141109
33	4981	141538
34	5099	140590
35	5220	139788
36	5753	149755
37	5873	148696
38	6053	149172
39	6200	148817
40	6345	148414
41	6019	137302
42	6574	146327
43	6294	136765
44	6849	145363
45	6552	135886
46	6736	136588
47	6938	137618
48	7060	137034
49	7215	137086
50	7367	137089
51	7488	136520
52	7597	135749
53	7760	135960
54	7927	136216
55	8074	136118
56	8213	135881
57	8347	135569
58	8490	135410
59	8635	135294
60	8787	135273
61	8935	135182
62	9029	134297
63	9173	134167
64	9313	133967
65	9441	133616
66	9562	133165
67	9644	132187
68	9750	131557
69	9892	131429
70	10022	131137
71	10154	130881
72	10304	130853
73	10452	130794
74	10558	130215
75	10674	129778
76	10843	129980
77	10975	129741
78	11171	130242
7979	11771	135378080	11907	135098181	12026	134638282	12168	134438383	12291	1348484	12017	129368
85	12123	128845
8686	12750	133808787	12882	133508888	13063	133728989	13222	133699090	13341	133279191	13472	1329792	13151	128259
93	13321	128392
94	13461	128234
95	13588	127956
96	13781	128300
97	13964	128527
98	14097	128300
99	14207	127871
100	14369	127900
101	14472	127413
102	14578	126959
10103	15141	13044104	14846	126548
105	14973	126285
106	15117	126164
107	15263	126067
108	15399	125877
109	15569	125969
110	15708	125806
111	15855	125711
112	15982	125458
113	16105	125168
114	16232	124923
115	16368	124743
116	16505	124569
117	16699	124820
118	16887	125025
119	17025	124853
120	17162	124678
121	17314	124610
122	17413	124161
123	17530	123845
124	17665	123660
12125	18248	1265812126	18439	12675127	18163	123738
128	18334	123794
129	18449	123469
130	18579	123251
131	18740	123232
132	18944	123493
133	19121	123573
134	19249	123339
135	19357	122978
136	19531	123036
137	19676	122907
138	19827	122814
139	19979	122733
140	20120	122575
141	20248	122347
142	20359	122016
143	20520	121981
144	20644	121731
145	20793	121629
146	20931	121460
147	21070	121298
148	21235	121284
149	21352	120999
150	21485	120804
151	21610	120566
152	21782	120587
153	21892	120263
154	22072	120331
155	22209	120156
156	22385	120196
157	22489	119850
158	22585	119461
159	22701	119184
160	22838	119017
161	23007	119013
162	23209	119182
163	23345	119006
164	23529	119071
165	23663	118885
166	23800	118717
167	23979	118753
168	24150	118751
169	24326	118769
170	24494	118747
171	24648	118656
172	24794	118528
173	24988	118625
174	25133	118486
175	25257	118252
176	25392	118066
177	25538	117934
178	25682	117797
179	25824	117646
180	25956	117449
181	26084	117238
182	26237	117135
183	26390	117033
184	26604	117204
185	26754	117086
186	26923	117050
187	27032	116756
188	27150	116502
189	27305	116405
190	27429	116180
191	27538	115891
192	27674	115715
193	27848	115698
194	28018	115664
195	28108	115302
196	28204	114967
197	28365	114893
198	28525	114819
199	28689	114756
200	28911	114925
201	29070	114841
202	29270	114917
203	29453	114926
204	29590	114751
205	29756	114690
206	29875	114452
207	30097	114600
208	30238	114444
209	30342	114147
210	30474	113953
211	30591	113708
212	30712	113477
213	30843	113285
214	30997	113176
215	31157	113088
216	31286	112889
217	31401	112643
218	31583	112633
219	31708	112422
220	31837	112223
221	31994	112124
222	32127	111942
223	32209	111583
224	32339	111392
225	32492	111279
226	32693	111330
227	32863	111273
